Wrestler,Age,WWE Title,Universal Title,World Heavyweight Title,IC Title,US Title,Women's IC Title,Women's US Title,Raw/ WWE Women's Title,Women's World/ SD Women's Title,WWE/ SD Tag Title,World/ Raw Tag Title,Women's Tag Title,NXT Title,NXT Women's Title,NXT North American Title,NXT Women's North American Title,NXT Tag Team Title,NXT Heritage Cup,Brand
Uriah Connors,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Adriana Rizzo,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Arianna Grace,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Blake Monroe,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NXT
Fallon Henley,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NXT
Izzi Dame,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Jacy Jayne,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NXT
Jaida Parker,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Jordynne Grace,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Kelani Jordan,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NXT
Lainey Reid,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Lola Vice,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Skylar Raye,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Sol Ruca,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NXT
Tatum Paxley,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NXT
Thea Hail,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NXT
Tyra Mae Steele,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Wren Sinclair,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT
Zaria,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NXT













